order_id,payment_amount,payment_method,payment_date
5580,951.3200,UPI,2024-02-14
5230,1229.7900,NetBanking,2024-01-28
18579,1519.4100,UPI,2024-01-29
15282,207.8000,NetBanking,2024-02-24
13470,1646.2500,UPI,2024-02-15
12360,1880.1100,NetBanking,2024-02-09
1903,1613.4000,Card,2024-01-11
6530,1817.4400,Card,2024-02-24
10106,1458.7300,Wallet,2024-01-04
1818,861.0500,Card,2024-01-24
15646,1969.3500,NetBanking,2024-01-21
10113,240.5300,Wallet,2024-01-01
2223,1544.0700,UPI,2024-02-08
1964,1907.5400,Card,2024-02-13
4823,523.9800,UPI,2024-01-23
4051,104.8100,Card,2024-01-31
12246,1238.6200,Card,2024-01-11
7426,490.2800,Card,2024-02-27
6739,1230.4500,UPI,2024-02-10
7131,1148.1600,UPI,2024-01-10
5500,1418.3000,Card,2024-01-14
14057,103.4300,NetBanking,2024-01-06
99,984.5400,NetBanking,2024-01-04
11781,1506.0100,Wallet,2024-01-09
14601,1677.5900,Card,2024-01-29
8504,1536.4400,NetBanking,2024-01-31
2094,777.9600,Card,2024-01-22
4983,1099.2800,Wallet,2024-02-28
10780,1121.8000,UPI,2024-02-03
17876,913.5700,Card,2024-02-03
17866,713.7400,Wallet,2024-01-10
6973,1980.0500,NetBanking,2024-01-06
16691,1144.2200,NetBanking,2024-01-18
1281,946.9000,Wallet,2024-01-01
3948,1591.2800,Wallet,2024-02-27
5798,860.4800,Card,2024-02-28
3573,1610.6800,UPI,2024-02-23
18051,489.0800,Card,2024-02-01
10244,1101.6800,Wallet,2024-01-29
6219,336.9800,Card,2024-01-08
19717,465.8400,Wallet,2024-01-18
2586,357.7300,UPI,2024-01-19
10286,1305.3000,UPI,2024-02-04
17246,1793.7300,Card,2024-01-26
4403,1370.7100,UPI,2024-02-26
6812,1347.5400,Wallet,2024-01-01
12262,1162.5800,UPI,2024-01-29
17739,519.1800,Wallet,2024-02-04
17411,1128.9700,Card,2024-01-14
16457,1039.7600,Card,2024-01-26
14038,1956.4400,NetBanking,2024-02-18
501,386.7100,NetBanking,2024-01-12
6943,1749.3200,Card,2024-01-23
19528,791.2600,Card,2024-02-15
1390,167.3600,UPI,2024-02-11
149,1270.2700,NetBanking,2024-02-22
11754,1703.9500,Wallet,2024-01-21
842,934.5800,NetBanking,2024-02-01
14167,744.7600,Wallet,2024-01-07
11420,1841.2600,Wallet,2024-02-26
13231,669.2700,Card,2024-02-28
19536,1318.3000,UPI,2024-01-27
13617,951.5000,Card,2024-01-19
6996,836.0600,Card,2024-02-27
16488,293.4900,Card,2024-01-06
6915,1468.3500,Card,2024-02-22
8414,112.8900,UPI,2024-01-07
16412,499.0000,UPI,2024-01-24
1251,636.6000,Wallet,2024-02-17
864,1839.5900,UPI,2024-02-26
17377,986.4700,Wallet,2024-02-25
17156,632.0800,Card,2024-02-02
6105,371.5300,NetBanking,2024-01-31
15402,1011.8100,NetBanking,2024-01-24
12318,442.8300,UPI,2024-01-20
5619,512.3300,UPI,2024-01-13
12627,733.1500,UPI,2024-02-25
18258,1440.4400,Wallet,2024-02-21
6041,238.5800,Card,2024-01-03
3936,497.3100,UPI,2024-02-03
17343,598.5600,UPI,2024-02-09
4526,1586.0800,UPI,2024-02-04
3295,768.3500,Wallet,2024-01-16
7890,362.1700,UPI,2024-02-18
15603,336.5300,Wallet,2024-01-06
1219,759.0300,NetBanking,2024-01-29
15195,1813.8300,Wallet,2024-01-29
12897,1806.8800,Wallet,2024-02-09
5848,1559.7900,Wallet,2024-01-29
8179,1821.8300,UPI,2024-01-06
15803,441.0200,Wallet,2024-02-06
17032,385.3300,Card,2024-01-31
10680,1335.9500,NetBanking,2024-02-07
5703,1260.0600,Card,2024-02-01
3389,743.2300,NetBanking,2024-01-02
19394,1475.1700,NetBanking,2024-01-16
4869,1858.0500,Card,2024-01-14
19442,1579.1600,Wallet,2024-01-22
17859,262.3700,NetBanking,2024-02-04
13839,1247.1400,Wallet,2024-01-30
7018,724.2000,NetBanking,2024-02-13
17514,271.5700,UPI,2024-01-02
12695,1338.3400,UPI,2024-01-07
3654,1976.9600,Wallet,2024-01-02
15313,1458.2100,Wallet,2024-02-20
14261,1954.7000,UPI,2024-02-27
3454,718.2500,NetBanking,2024-01-19
11127,229.6500,Card,2024-02-29
19224,169.2500,Card,2024-01-18
590,167.8200,Wallet,2024-02-21
19949,1317.7300,Card,2024-02-12
18881,1412.1300,Card,2024-01-15
8331,1756.4300,NetBanking,2024-01-16
8514,898.9900,Wallet,2024-02-23
7102,1592.6300,Wallet,2024-02-27
12254,618.5800,Card,2024-01-20
3020,594.7900,UPI,2024-01-01
18744,1765.7900,NetBanking,2024-02-20
17589,345.5200,Wallet,2024-02-16
2181,767.3100,Wallet,2024-02-10
14007,311.7900,UPI,2024-02-12
7493,360.2800,UPI,2024-02-21
8006,989.5200,UPI,2024-02-14
6099,486.1900,Card,2024-02-15
19104,748.2300,Wallet,2024-01-21
5297,490.4000,Card,2024-02-12
7863,1388.6800,Wallet,2024-01-26
15759,1622.2000,NetBanking,2024-02-21
5987,993.3600,NetBanking,2024-01-02
12182,1524.0400,NetBanking,2024-02-02
18342,139.3700,Wallet,2024-01-18
12904,1574.7000,UPI,2024-02-28
9601,422.0100,Card,2024-02-29
17787,1821.5600,NetBanking,2024-01-26
10118,1030.7700,Wallet,2024-01-29
3593,1992.6200,UPI,2024-01-28
7012,847.9700,Card,2024-01-09
10416,1875.8000,Wallet,2024-01-01
18501,1095.3300,Card,2024-01-19
3773,1576.4000,Wallet,2024-01-17
7864,1264.1100,Card,2024-01-17
1010,1244.9000,UPI,2024-03-01
6814,436.3200,UPI,2024-02-01
17308,1233.6300,Wallet,2024-01-08
17726,281.2900,Card,2024-02-02
841,1872.3200,UPI,2024-01-17
12818,483.0400,Card,2024-01-28
5762,188.0700,NetBanking,2024-02-04
6723,1978.6900,Wallet,2024-01-17
19975,1770.6900,NetBanking,2024-02-16
9193,1795.2300,Wallet,2024-02-24
14922,1399.3200,Wallet,2024-01-20
6517,473.8500,NetBanking,2024-01-17
7440,890.6000,Wallet,2024-02-28
16675,456.4300,Wallet,2024-02-22
8780,1872.3800,Card,2024-02-18
19064,1675.9800,UPI,2024-01-29
8410,276.6100,NetBanking,2024-01-24
11579,742.6600,UPI,2024-01-21
14100,691.3900,Wallet,2024-02-12
15479,501.6500,NetBanking,2024-03-01
13776,766.6000,UPI,2024-01-03
6574,1505.9800,Wallet,2024-02-25
12598,1941.1500,Wallet,2024-02-13
2560,1250.5600,NetBanking,2024-01-26
9912,165.9200,Wallet,2024-02-24
15571,967.0000,UPI,2024-02-26
3904,1022.8300,NetBanking,2024-02-05
4856,1519.3900,Wallet,2024-01-10
3306,806.9800,NetBanking,2024-02-18
2000,1893.0800,Wallet,2024-02-22
8454,1793.6200,UPI,2024-01-01
4034,1083.6000,Card,2024-02-01
6448,1548.3100,UPI,2024-02-20
237,380.3800,Wallet,2024-01-16
16879,1675.8100,Wallet,2024-02-24
13747,357.9600,NetBanking,2024-01-09
19560,1272.0200,Card,2024-02-18
10432,875.4700,Wallet,2024-02-26
13846,565.1000,NetBanking,2024-01-19
19877,262.6000,UPI,2024-01-12
13250,1029.0900,UPI,2024-02-10
10209,758.8100,Wallet,2024-01-02
1650,1626.0100,UPI,2024-01-25
3772,1445.6600,Wallet,2024-02-14
15785,576.6300,Wallet,2024-01-21
12663,1237.2700,NetBanking,2024-02-17
5829,684.7000,Card,2024-01-09
5578,494.5700,Card,2024-02-03
15441,1200.7600,Card,2024-02-23
17050,1659.8200,Wallet,2024-02-29
9942,1428.8600,NetBanking,2024-01-09
8967,555.6900,UPI,2024-01-28
11564,1921.1400,Card,2024-02-11
13658,344.0900,Card,2024-03-01
16920,1241.1600,Wallet,2024-02-23
2318,2169.0200,UPI,2024-01-05
9427,1824.0700,NetBanking,2024-02-15
16578,455.8700,NetBanking,2024-03-01
1328,1812.1900,Card,2024-01-28
16248,893.1200,Card,2024-02-23
19987,1680.5000,Card,2024-01-20
4122,450.2500,NetBanking,2024-02-27
16700,1536.3500,Wallet,2024-01-19
520,1506.2600,Card,2024-03-01
19994,434.1100,NetBanking,2024-01-12
9795,1228.1700,Card,2024-01-12
16025,1382.9700,Wallet,2024-02-21
10071,415.7300,NetBanking,2024-01-29
8493,1242.3300,Card,2024-01-15
12416,176.1600,Wallet,2024-01-25
13856,467.9200,UPI,2024-01-05
12822,411.7600,Wallet,2024-03-01
7542,1144.1200,Card,2024-02-26
5037,568.5400,UPI,2024-02-23
16705,1221.7000,NetBanking,2024-02-12
10797,941.5600,Card,2024-01-15
15172,1336.2500,Card,2024-03-01
15283,1196.0200,Card,2024-02-23
15422,217.1700,Card,2024-01-29
17255,390.9000,Card,2024-01-03
1028,1261.6400,Card,2024-02-14
18644,621.5000,Wallet,2024-02-12
1034,1170.9900,UPI,2024-02-16
3867,1167.4100,UPI,2024-02-02
4623,1228.8900,UPI,2024-02-04
19252,718.4600,UPI,2024-02-22
11144,617.0100,Wallet,2024-01-04
11619,1678.6600,Wallet,2024-01-27
3617,290.0600,Wallet,2024-01-10
1878,1660.3800,UPI,2024-02-01
19207,873.8800,Wallet,2024-01-25
14230,1471.8100,UPI,2024-02-23
11,307.6800,Wallet,2024-02-23
11219,562.0100,NetBanking,2024-01-01
4921,1432.0700,Wallet,2024-02-09
10624,443.7500,Card,2024-03-01
7807,218.2900,UPI,2024-01-30
3091,379.5100,Card,2024-01-10
6970,360.0200,Wallet,2024-01-02
2465,393.6700,Wallet,2024-01-13
17919,1707.2600,Card,2024-01-13
17069,1286.9300,UPI,2024-02-10
4858,1591.9200,UPI,2024-01-20
9596,1681.3300,Wallet,2024-02-16
13720,1765.9900,Card,2024-02-02
6026,1675.5200,NetBanking,2024-01-25
13528,1237.3100,Card,2024-01-26
16532,960.3200,Wallet,2024-01-17
2374,375.7600,Wallet,2024-02-21
293,1011.1900,UPI,2024-01-06
8735,1696.9200,Wallet,2024-01-22
12558,725.1100,NetBanking,2024-01-02
2690,1724.1800,Card,2024-01-29
18679,188.7200,Card,2024-01-26
4721,1832.2500,UPI,2024-01-16
4736,170.8600,Card,2024-02-23
6560,771.2600,Wallet,2024-02-18
7347,1250.1500,UPI,2024-01-31
4401,1435.7400,Wallet,2024-02-05
4996,1170.4700,Wallet,2024-02-15
7268,1915.2300,Wallet,2024-01-06
10614,1618.3000,NetBanking,2024-01-15
12058,1777.4800,UPI,2024-02-02
12137,261.4700,NetBanking,2024-01-10
2838,1567.1900,UPI,2024-01-22
14412,226.8400,Card,2024-02-14
4876,336.1200,UPI,2024-02-21
7499,1417.1000,Wallet,2024-01-05
17218,1492.0800,Wallet,2024-01-31
11180,296.6100,UPI,2024-01-18
4757,1459.5900,Wallet,2024-01-04
13435,1587.8100,Card,2024-01-05
16272,1555.3700,NetBanking,2024-01-20
3992,1128.4700,UPI,2024-02-02
8176,392.8700,Card,2024-02-22
1877,1407.5300,Card,2024-01-05
8485,1980.0800,UPI,2024-02-18
19761,379.3600,UPI,2024-02-14
4059,300.3400,UPI,2024-01-05
2971,580.0900,Card,2024-01-01
4548,1924.7200,NetBanking,2024-02-14
3378,1563.4500,Card,2024-02-13
13857,1986.2000,Card,2024-01-06
12733,1454.4700,Card,2024-02-23
13680,584.0500,UPI,2024-02-18
15648,1453.6500,Card,2024-02-04
8633,546.1600,Wallet,2024-01-11
4109,803.8300,Wallet,2024-02-05
13559,1693.7500,UPI,2024-01-16
19879,1788.3400,Card,2024-01-22
18465,1723.2700,Wallet,2024-02-16
2578,625.7100,UPI,2024-01-24
9036,1885.8500,NetBanking,2024-01-21
2368,455.7200,NetBanking,2024-02-17
15019,1354.9400,Card,2024-01-01
232,112.5900,UPI,2024-02-03
14750,172.4600,Wallet,2024-01-07
12807,1380.3100,UPI,2024-02-13
992,224.7200,UPI,2024-01-07
3182,1815.8200,NetBanking,2024-02-05
12531,168.8300,Wallet,2024-02-09
3505,640.1800,UPI,2024-02-26
4854,1061.8800,Card,2024-01-18
17111,1483.1800,Wallet,2024-01-09
19021,1726.0000,UPI,2024-02-29
19485,1387.5100,UPI,2024-02-18
4057,1651.9900,Card,2024-01-13
9320,1842.9500,Wallet,2024-02-10
17911,277.6000,Wallet,2024-02-01
2233,404.9400,Wallet,2024-01-04
9326,1158.8000,Card,2024-02-09
5274,624.1600,UPI,2024-02-11
8396,773.2300,Wallet,2024-02-01
2331,931.8400,Wallet,2024-02-16
10837,1802.5700,NetBanking,2024-01-04
3935,1211.3400,Wallet,2024-02-19
3477,1311.5800,Card,2024-02-19
11485,1023.5200,Wallet,2024-01-03
69,241.9200,Card,2024-02-04
4798,1806.1400,UPI,2024-01-18
11396,1791.9300,Wallet,2024-02-10
16597,504.2900,Card,2024-01-14
16358,738.7700,Card,2024-01-30
15910,1433.1200,UPI,2024-02-09
9892,103.5200,Wallet,2024-01-23
13394,1084.6100,NetBanking,2024-01-25
4932,1939.0800,Card,2024-01-13
18401,772.1200,Wallet,2024-01-28
10473,1861.2600,Card,2024-01-30
5615,922.0500,Wallet,2024-03-01
8219,356.7000,UPI,2024-02-04
8232,512.4700,Card,2024-02-16
1038,1969.0800,Card,2024-01-23
11365,954.6400,Card,2024-01-05
6710,350.9900,UPI,2024-01-10
7058,269.2000,Card,2024-02-25
6493,1567.6300,Wallet,2024-01-15
18408,1404.8000,UPI,2024-02-26
6674,1523.4800,UPI,2024-01-04
19716,313.5000,UPI,2024-01-19
5231,136.7200,NetBanking,2024-02-17
14592,728.3600,Wallet,2024-01-17
12751,689.3400,UPI,2024-02-05
1707,1943.4500,Wallet,2024-01-13
6558,387.7400,Wallet,2024-02-12
12644,417.7300,Wallet,2024-01-21
7056,318.6600,UPI,2024-02-01
2640,856.8400,Card,2024-01-31
11660,252.4500,Wallet,2024-02-06
15198,1020.2200,Wallet,2024-01-23
8096,762.6200,NetBanking,2024-02-02
5867,208.9000,UPI,2024-01-29
525,895.9800,NetBanking,2024-02-10
339,1438.9500,Card,2024-02-01
830,1027.2400,NetBanking,2024-02-07
8557,895.9100,Wallet,2024-01-06
17383,1518.9800,UPI,2024-01-06
9372,702.7800,Card,2024-01-11
3294,1878.7400,Wallet,2024-02-08
19287,1928.4100,NetBanking,2024-01-02
9404,626.5800,UPI,2024-01-21
7971,1038.4900,UPI,2024-02-27
16439,764.6500,NetBanking,2024-02-15
3804,759.0800,UPI,2024-01-21
2927,403.3300,NetBanking,2024-02-23
14318,1165.2600,UPI,2024-02-29
4088,793.6400,Wallet,2024-01-26
4386,215.7300,Card,2024-02-12
3096,268.5600,NetBanking,2024-01-16
9513,763.7200,Card,2024-02-23
6619,1453.8700,Wallet,2024-01-14
6235,795.2000,Wallet,2024-02-29
407,1464.2600,Wallet,2024-01-28
10519,1119.5300,Card,2024-01-24
9067,971.0100,NetBanking,2024-01-05
14173,213.5500,UPI,2024-01-13
14045,1885.7000,Wallet,2024-01-08
6928,443.4500,NetBanking,2024-01-13
7466,554.1700,NetBanking,2024-02-03
12030,162.1500,Wallet,2024-02-18
15345,777.0500,NetBanking,2024-02-29
17486,142.2400,UPI,2024-01-05
5896,1150.9200,NetBanking,2024-01-17
1482,1699.8600,Wallet,2024-02-12
8284,187.1000,Wallet,2024-01-01
15222,1728.0500,Wallet,2024-01-24
11304,602.8100,Card,2024-02-16
75,1072.1100,Wallet,2024-01-06
19361,1333.3900,UPI,2024-02-14
14610,716.1800,UPI,2024-02-15
14017,167.5600,UPI,2024-01-11
6734,1862.0300,Wallet,2024-02-14
9733,1138.0500,NetBanking,2024-03-01
1934,1917.4400,UPI,2024-01-11
12298,1463.3800,UPI,2024-02-29
4587,790.8800,NetBanking,2024-02-22
145,1515.8300,NetBanking,2024-01-04
17858,1627.1200,UPI,2024-02-07
19668,1593.4200,UPI,2024-02-14
15253,1355.4300,Card,2024-02-23
14787,1523.2600,NetBanking,2024-02-21
9502,513.9100,Card,2024-01-01
15671,258.7700,Card,2024-02-21
17574,406.1600,Wallet,2024-02-07
8348,1162.2100,Wallet,2024-01-18
14717,665.9300,NetBanking,2024-01-21
9640,123.8500,UPI,2024-01-18
4879,775.1900,UPI,2024-03-01
7387,1559.5500,Wallet,2024-01-09
4462,1570.4800,Wallet,2024-01-31
9295,771.2100,UPI,2024-02-02
8027,1015.1000,Card,2024-01-24
19748,1078.3100,Wallet,2024-02-02
265,547.2100,NetBanking,2024-01-23
5800,2002.9300,Wallet,2024-02-24
8360,151.5400,Card,2024-02-12
13689,749.9600,Wallet,2024-02-13
1462,968.5300,Wallet,2024-02-16
19565,255.7400,NetBanking,2024-01-16
7888,1871.6400,Card,2024-01-07
14698,723.4800,UPI,2024-01-06
16348,690.1100,UPI,2024-01-27
921,1366.0500,NetBanking,2024-02-11
5678,1018.7800,Wallet,2024-02-09
5519,468.5700,NetBanking,2024-01-18
6205,1381.9200,Card,2024-01-08
17550,1209.5500,UPI,2024-02-03
10095,1311.1300,NetBanking,2024-01-04
1524,1671.2700,Card,2024-01-15
3101,932.9600,Card,2024-02-17
5422,1691.0100,NetBanking,2024-02-27
17199,114.9400,NetBanking,2024-01-13
16792,1702.2400,Wallet,2024-01-20
8976,113.2400,Wallet,2024-01-25
350,394.6400,Card,2024-02-25
7245,724.4900,UPI,2024-02-18
8072,1771.8000,UPI,2024-02-29
14607,1653.1600,Wallet,2024-01-25
7962,1134.4400,Wallet,2024-02-25
5923,926.8200,NetBanking,2024-01-26
18154,1293.5300,UPI,2024-02-17
4075,1988.1800,UPI,2024-01-09
6621,203.8300,UPI,2024-02-19
6543,578.6900,Wallet,2024-02-16
19071,1171.4000,NetBanking,2024-02-17
2398,175.8300,Card,2024-02-02
1513,1632.9800,UPI,2024-01-24
178,1326.7400,Card,2024-02-03
9540,1508.5800,NetBanking,2024-01-18
18716,1341.9100,NetBanking,2024-01-17
14143,1621.7800,Card,2024-02-26
4912,892.9700,Card,2024-02-27
3837,769.0600,UPI,2024-01-31
18894,244.4000,Card,2024-02-17
6341,542.2200,Wallet,2024-01-20
16882,1707.1300,Wallet,2024-02-01
2869,1163.0000,Card,2024-01-16
16830,1525.3800,NetBanking,2024-01-05
3495,871.2900,Card,2024-01-21
13233,350.9900,Card,2024-02-15
70,1049.4800,NetBanking,2024-01-10
7327,1494.8200,UPI,2024-02-12
12010,1203.5300,NetBanking,2024-01-02
11456,910.8100,NetBanking,2024-02-03
12771,1096.7900,Wallet,2024-01-01
892,1530.4800,UPI,2024-02-21
7343,1049.8200,Wallet,2024-01-05
12344,1806.7900,Wallet,2024-02-23
16663,1181.7000,UPI,2024-01-12
13547,1331.4200,UPI,2024-01-03
9819,1288.1100,UPI,2024-01-15
6917,1590.8300,UPI,2024-01-17
127,151.2800,Card,2024-01-29
14941,1679.1400,Card,2024-02-22
7803,737.9100,Card,2024-02-15
258,128.6800,Card,2024-01-07
2955,1924.4000,NetBanking,2024-01-26
15354,1838.6900,Card,2024-01-16
3147,301.0800,Wallet,2024-01-24
9700,1190.2800,NetBanking,2024-02-16
4174,1031.1100,Wallet,2024-02-05
8266,1357.8300,NetBanking,2024-01-23
13335,124.2000,Wallet,2024-02-06
3247,987.6100,NetBanking,2024-01-10
5482,209.2600,Card,2024-01-10
19909,171.1600,Wallet,2024-02-17
15418,522.0200,Wallet,2024-02-03
1959,1725.7200,UPI,2024-01-12
16068,124.1200,NetBanking,2024-02-07
1761,1921.8200,NetBanking,2024-02-07
19658,755.9700,NetBanking,2024-01-09
7237,1301.2000,Card,2024-02-01
2818,1029.4600,UPI,2024-01-17
19757,1964.1400,Card,2024-02-27
2344,874.6000,Card,2024-02-23
10385,103.5400,NetBanking,2024-01-09
19155,552.1700,Card,2024-02-01
12497,1227.4300,Wallet,2024-02-14
14013,1619.1000,UPI,2024-02-20
13652,1084.0700,Card,2024-02-25
6580,1476.6900,NetBanking,2024-02-01
19111,1923.6400,Card,2024-02-15
18066,470.3800,NetBanking,2024-01-11
3496,1288.6400,Wallet,2024-02-14
12327,1238.4300,UPI,2024-02-23
17325,156.8500,Wallet,2024-02-22
18166,589.9400,UPI,2024-02-28
6419,1252.7100,NetBanking,2024-02-11
15017,1541.7200,UPI,2024-01-17
9759,1066.3700,UPI,2024-02-02
12631,1628.6100,Card,2024-01-02
5354,954.4400,UPI,2024-01-31
16636,131.6300,NetBanking,2024-01-18
7266,573.2700,Card,2024-01-13
19267,299.1300,UPI,2024-02-28
17601,506.2200,Wallet,2024-02-19
15405,971.6300,UPI,2024-01-01
14853,441.4000,UPI,2024-01-23
12952,703.3800,Wallet,2024-01-10
2071,108.3300,Card,2024-01-19
2144,234.8700,UPI,2024-01-11
19085,1655.8700,Wallet,2024-03-01
7765,116.7300,Wallet,2024-01-07
8125,1985.7000,Wallet,2024-01-11
3191,122.0000,Wallet,2024-02-04
11764,192.9300,Wallet,2024-01-23
16697,1623.2700,UPI,2024-01-02
13139,362.7400,Wallet,2024-01-01
1888,1685.6300,Wallet,2024-02-24
8374,1139.1400,UPI,2024-01-26
9987,1481.2200,Wallet,2024-01-08
13825,1331.3400,Card,2024-01-26
5413,1307.7900,Card,2024-01-03
4173,1000.5400,NetBanking,2024-02-15
16954,658.8000,Card,2024-01-09
2624,1162.9300,Card,2024-01-17
1105,1217.1100,Wallet,2024-01-03
14462,893.6600,UPI,2024-02-01
1525,1346.0500,NetBanking,2024-01-17
10233,1074.3300,Wallet,2024-01-10
2020,1800.0000,Card,2024-02-20
486,233.1900,UPI,2024-02-06
9897,1752.1200,UPI,2024-02-01
2449,1412.7700,Card,2024-02-05
11004,722.4000,Wallet,2024-02-15
16139,103.7600,Wallet,2024-01-15
15762,388.6700,NetBanking,2024-01-12
18178,543.4900,UPI,2024-01-30
13294,992.9400,Card,2024-02-04
11678,1075.0300,Card,2024-02-13
7233,1817.3600,UPI,2024-01-08
14358,1246.4900,NetBanking,2024-02-20
3461,1604.1900,NetBanking,2024-02-02
14009,1040.9300,Card,2024-01-04
12476,1133.2800,Card,2024-02-02
18907,1286.4000,Wallet,2024-01-23
3587,859.4600,UPI,2024-02-21
4248,1173.8800,NetBanking,2024-01-11
13226,757.9000,Card,2024-01-27
2158,628.2100,Wallet,2024-01-07
16343,1394.2200,NetBanking,2024-01-27
10553,1604.6800,Wallet,2024-02-05
13404,1612.8500,NetBanking,2024-02-27
16039,840.4700,Wallet,2024-02-24
16266,270.6800,Card,2024-01-04
11028,850.9200,Card,2024-01-27
11197,1368.5500,UPI,2024-01-01
6245,1693.6900,Card,2024-02-16
17596,793.5300,Wallet,2024-02-04
8080,1064.0400,NetBanking,2024-01-02
11538,1212.9500,NetBanking,2024-01-15
3184,308.2600,Card,2024-02-18
896,1248.2000,NetBanking,2024-01-23
2718,1237.4300,UPI,2024-01-18
806,706.2200,Card,2024-01-15
12357,1239.3600,UPI,2024-02-04
12943,273.3900,UPI,2024-01-16
16520,1881.1300,Card,2024-01-11
17873,1801.6200,NetBanking,2024-01-07
14028,995.5700,Wallet,2024-01-23
9018,204.8300,NetBanking,2024-02-21
18349,1988.4400,UPI,2024-01-29
2192,1337.2600,Card,2024-02-08
18818,1475.8800,NetBanking,2024-01-27
18541,413.1400,Wallet,2024-02-28
17912,1455.1600,NetBanking,2024-02-21
6528,1946.2300,Card,2024-01-16
7677,1725.3600,Wallet,2024-02-11
12867,1613.4300,NetBanking,2024-01-19
15797,980.1900,Card,2024-02-19
19950,887.2900,UPI,2024-01-16
6657,1172.3600,NetBanking,2024-02-07
15801,533.1900,Card,2024-02-23
1947,1066.5500,Wallet,2024-01-02
6760,1545.5600,NetBanking,2024-01-09
10683,1059.1000,NetBanking,2024-01-16
12349,1097.7400,NetBanking,2024-01-12
9165,1744.2100,Card,2024-01-04
