product_id,price,category,effective_date,end_date,is_current
43,860.0100,Home,2023-01-01,2023-12-31,0
43,737.3800,Home,2024-01-01,null,1
44,133.4600,Grocery,2023-01-01,2023-12-31,0
44,154.7600,Grocery,2024-01-01,null,1
45,520.4700,Electronics,2023-01-01,2023-12-31,0
45,567.0600,Electronics,2024-01-01,null,1
46,1714.8100,Home,2023-01-01,2023-12-31,0
46,1761.6400,Home,2024-01-01,null,1
47,1660.4800,Grocery,2023-01-01,2023-12-31,0
47,2035.8400,Grocery,2024-01-01,null,1
48,1427.7000,Electronics,2023-01-01,2023-12-31,0
48,1661.1900,Electronics,2024-01-01,null,1
49,211.6100,Sports,2023-01-01,2023-12-31,0
49,247.0300,Sports,2024-01-01,null,1
50,617.9100,Sports,2023-01-01,2023-12-31,0
50,570.2800,Sports,2024-01-01,null,1
51,1606.1400,Sports,2023-01-01,2023-12-31,0
51,1795.4500,Sports,2024-01-01,null,1
52,545.3000,Electronics,2023-01-01,2023-12-31,0
52,629.3800,Electronics,2024-01-01,null,1
53,1880.0100,Grocery,2023-01-01,2023-12-31,0
53,1791.9400,Grocery,2024-01-01,null,1
54,1598.6400,Home,2023-01-01,2023-12-31,0
54,1787.3900,Home,2024-01-01,null,1
55,188.1500,Clothing,2023-01-01,2023-12-31,0
55,185.6900,Clothing,2024-01-01,null,1
56,918.6900,Sports,2023-01-01,2023-12-31,0
56,860.7500,Sports,2024-01-01,null,1
57,639.1900,Clothing,2023-01-01,2023-12-31,0
57,688.3500,Clothing,2024-01-01,null,1
58,1712.4900,Sports,2023-01-01,2023-12-31,0
58,2099.0700,Sports,2024-01-01,null,1
59,278.3200,Sports,2023-01-01,2023-12-31,0
59,264.5200,Sports,2024-01-01,null,1
60,1236.6400,Electronics,2023-01-01,2023-12-31,0
60,1128.9300,Electronics,2024-01-01,null,1
61,151.2900,Clothing,2023-01-01,2023-12-31,0
61,171.6600,Clothing,2024-01-01,null,1
62,1724.3800,Clothing,2023-01-01,2023-12-31,0
62,1802.2600,Clothing,2024-01-01,null,1
63,998.8100,Grocery,2023-01-01,2023-12-31,0
63,1129.2300,Grocery,2024-01-01,null,1
64,1587.4500,Electronics,2023-01-01,2023-12-31,0
64,1855.3700,Electronics,2024-01-01,null,1
65,579.3500,Grocery,2023-01-01,2023-12-31,0
65,590.5000,Grocery,2024-01-01,null,1
66,1677.0000,Grocery,2023-01-01,2023-12-31,0
66,1642.3200,Grocery,2024-01-01,null,1
67,725.8800,Grocery,2023-01-01,2023-12-31,0
67,661.6800,Grocery,2024-01-01,null,1
68,563.4500,Electronics,2023-01-01,2023-12-31,0
68,533.9400,Electronics,2024-01-01,null,1
69,194.8300,Home,2023-01-01,2023-12-31,0
69,218.9600,Home,2024-01-01,null,1
70,929.5500,Grocery,2023-01-01,2023-12-31,0
70,829.3500,Grocery,2024-01-01,null,1
71,146.9500,Sports,2023-01-01,2023-12-31,0
71,133.6400,Sports,2024-01-01,null,1
72,313.7000,Grocery,2023-01-01,2023-12-31,0
72,285.5700,Grocery,2024-01-01,null,1
73,403.1900,Grocery,2023-01-01,2023-12-31,0
73,409.7700,Grocery,2024-01-01,null,1
74,1143.9800,Clothing,2023-01-01,2023-12-31,0
74,1350.7000,Clothing,2024-01-01,null,1
75,1871.3400,Grocery,2023-01-01,2023-12-31,0
75,2288.6200,Grocery,2024-01-01,null,1
76,700.1800,Electronics,2023-01-01,2023-12-31,0
76,694.9000,Electronics,2024-01-01,null,1
77,234.1000,Electronics,2023-01-01,2023-12-31,0
77,282.4700,Electronics,2024-01-01,null,1
78,1804.1100,Clothing,2023-01-01,2023-12-31,0
78,2165.0400,Clothing,2024-01-01,null,1
79,997.2200,Clothing,2023-01-01,2023-12-31,0
79,1160.1100,Clothing,2024-01-01,null,1
80,859.0100,Clothing,2023-01-01,2023-12-31,0
80,1059.5100,Clothing,2024-01-01,null,1
81,136.0800,Sports,2023-01-01,2023-12-31,0
81,119.8500,Sports,2024-01-01,null,1
82,1184.6900,Grocery,2023-01-01,2023-12-31,0
82,1296.0300,Grocery,2024-01-01,null,1
83,1734.3800,Electronics,2023-01-01,2023-12-31,0
83,1764.7200,Electronics,2024-01-01,null,1
84,428.2200,Grocery,2023-01-01,2023-12-31,0
84,456.8200,Grocery,2024-01-01,null,1
85,1118.7300,Sports,2023-01-01,2023-12-31,0
85,1130.2500,Sports,2024-01-01,null,1
86,1941.0300,Grocery,2023-01-01,2023-12-31,0
86,1738.6100,Grocery,2024-01-01,null,1
87,937.7800,Electronics,2023-01-01,2023-12-31,0
87,959.7900,Electronics,2024-01-01,null,1
88,1209.7500,Clothing,2023-01-01,2023-12-31,0
88,1085.6700,Clothing,2024-01-01,null,1
89,1931.9100,Sports,2023-01-01,2023-12-31,0
89,2277.0300,Sports,2024-01-01,null,1
90,879.5700,Electronics,2023-01-01,2023-12-31,0
90,1018.1300,Electronics,2024-01-01,null,1
91,722.7100,Sports,2023-01-01,2023-12-31,0
91,764.8100,Sports,2024-01-01,null,1
92,1006.2300,Grocery,2023-01-01,2023-12-31,0
92,899.3600,Grocery,2024-01-01,null,1
93,838.8500,Grocery,2023-01-01,2023-12-31,0
93,875.8700,Grocery,2024-01-01,null,1
94,1308.7000,Sports,2023-01-01,2023-12-31,0
94,1444.5500,Sports,2024-01-01,null,1
95,1585.9400,Home,2023-01-01,2023-12-31,0
95,1518.3200,Home,2024-01-01,null,1
96,221.0500,Electronics,2023-01-01,2023-12-31,0
96,214.3900,Electronics,2024-01-01,null,1
97,1340.2100,Sports,2023-01-01,2023-12-31,0
97,1303.9100,Sports,2024-01-01,null,1
98,1640.3100,Electronics,2023-01-01,2023-12-31,0
98,1658.3300,Electronics,2024-01-01,null,1
99,1826.6600,Grocery,2023-01-01,2023-12-31,0
99,1915.7500,Grocery,2024-01-01,null,1
100,420.7100,Clothing,2023-01-01,2023-12-31,0
100,369.6100,Clothing,2024-01-01,null,1
